AnzTageFleisch;Geschlecht;Altersgruppe
6;m;30-39
0;m;30-39
4;m;30-39
2;m;30-39
5;m;20-29
3;m;30-39
2;m;30-39
0;w;30-39
4;m;30-39
5;m;30-39
0;w;20-29
7;m;30-39
7;m;50-59
2;m;0-9
2;m;0-9
3;m;30-39
0;w;30-39
1;w;30-39
0;m;10-19
2;w;30-39
3;w;0-9
2;w;30-39
0;w;30-39
5;w;30-39
3;w;20-29
3;m;60-69
1;w;30-39
1;w;60-69
3;m;30-39
2;w;60-69
1;w;30-39
6;m;30-39
4;m;40-49
5;m;20-29
3;w;20-29
0;w;20-29
0;w;30-39
1;w;20-29
0;w;20-29
0;m;30-39
2;m;40-49
4;m;30-39
1;m;30-39
5;m;30-39
3;m;50-59
3;m;50-59
2;w;40-49
0;m;10-19
0;w;20-29
4;w;30-39
2;m;50-59
5;w;40-49
7;m;40-49
6;m;10-19
6;m;10-19
4;w;30-39
2;m;0-9
5;m;30-39
1;w;40-49
4;m;30-39
4;m;20-29
4;m;30-39
6;m;30-39
0;w;20-29
2;w;40-49
6;m;30-39
7;w;30-39
3;w;30-39
0;w;20-29
4;m;30-39
2;w;30-39
3;m;20-29
4;m;30-39
0;w;30-39
4;m;30-39
